client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,807.60,0.000000
1,7,6,0,1,0.1778,0.9762,458,0.5203,0.9999,5.0,362762.10,0.000000
2,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1009004.40,0.000000
3,7,7,1,1,3.3115,0.7500,1061,5.0238,0.9996,1.0,72691.60,0.750000
4,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,250508.10,0.000000
5,7,4,0,1,1.9399,0.9523,926,26.1071,1.0000,4.0,2206612.10,0.000000
6,7,4,0,1,0.2835,0.9615,229,4.9697,0.9984,1.0,8927.60,0.000000
7,7,5,0,1,0.0070,1.0000,1151,5.0023,0.9998,5.0,21896.40,0.000000
8,7,1,0,1,0.6741,0.7647,870,6.8813,0.9913,4.0,12644.10,0.000000
9,7,3,0,1,2.9935,0.8652,1100,0.7581,0.9994,1.0,230758.10,0.000000
10,7,5,0,1,0.2433,0.9846,484,3.6275,0.9999,4.0,193958.10,0.000000
11,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,92140.10,0.000000
12,7,7,1,1,0.0727,0.9828,1052,0.2782,0.9998,3.0,131754.40,0.982759
13,7,1,0,1,1.6308,0.8049,748,1.6777,0.9957,5.0,130966.90,0.000000
14,7,5,0,1,0.2338,0.9804,633,0.0046,0.9993,1.0,185576.40,0.000000
15,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,47490.10,0.000000
16,7,1,0,1,1.2532,0.9043,390,5.1039,0.9988,2.0,110630.50,0.000000
17,7,4,0,1,0.9237,0.9091,507,1.4740,0.9998,2.0,497918.50,0.000000
18,7,6,0,1,0.0026,1.0000,984,0.9725,0.9996,4.0,7102.00,0.000000
19,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3606.10,0.000000
20,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,420.90,0.000000
21,7,4,0,1,0.0001,1.0000,325,0.0002,1.0000,5.0,544576.10,0.000000
22,7,6,0,1,0.4694,0.9804,739,0.1837,1.0000,2.0,1404680.40,0.000000
23,7,3,0,1,0.5926,0.8000,615,9.0513,0.9985,5.0,156.90,0.000000
24,7,4,0,1,0.0008,1.0000,1179,7.6377,0.9905,4.0,88.90,0.000000
25,7,3,0,1,0.0278,1.0000,266,5.5998,0.9988,3.0,6032.10,0.000000
26,7,2,0,1,0.5234,0.8889,531,0.0087,0.9937,4.0,5874.10,0.000000
27,7,3,0,1,0.4231,0.9730,1018,0.8440,0.9999,5.0,1296356.50,0.000000
28,7,5,0,1,0.6253,0.9652,1008,1.7303,1.0000,4.0,871394.90,0.000000
29,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,418876.00,0.000000
30,7,1,0,1,0.4830,0.9048,320,2.2404,0.9990,3.0,62202.90,0.000000
31,7,3,0,1,0.0459,0.9821,735,1.6651,0.9997,3.0,104081.60,0.000000
32,7,2,0,1,1.3300,0.9754,428,1.4149,0.9997,5.0,1283527.60,0.000000
33,7,3,0,1,0.6515,0.7692,224,5.4314,0.9992,4.0,4360.90,0.000000
34,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3220.40,0.000000
35,7,7,1,1,0.0001,1.0000,1055,0.0631,0.9996,3.0,54667.60,1.000000
36,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,120350.40,0.000000
37,7,6,0,1,0.1367,0.9884,800,0.6058,0.9999,4.0,313216.00,0.000000
38,7,5,0,1,0.2778,0.8571,963,10.8497,0.9989,4.0,6574.10,0.000000
39,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,12356.90,0.000000
40,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,35345.60,0.000000
41,7,6,0,1,0.5569,0.9155,812,14.5648,0.9998,3.0,308862.40,0.000000
42,7,6,0,1,0.0175,1.0000,241,0.5939,0.9998,1.0,586072.40,0.000000
43,7,6,0,1,0.2774,0.9444,616,0.0217,0.9997,5.0,7547.60,0.000000
44,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3727.60,0.000000
45,7,6,0,1,0.0492,0.9600,1000,16.4370,0.9996,5.0,14844.10,0.000000
46,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,455431.60,0.000000
47,7,4,0,1,1.1214,0.9398,689,2.7971,0.9998,2.0,192364.40,0.000000
48,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1198.10,0.000000
49,7,1,0,1,1.7559,0.9444,638,21.2471,0.9471,1.0,10162.50,0.000000
50,7,2,0,1,1.0696,0.7778,1107,5.5096,0.9982,2.0,45966.40,0.000000
51,7,2,0,1,0.0164,1.0000,406,1.0892,0.9998,4.0,166534.90,0.000000
52,7,4,0,1,0.1672,0.9600,799,4.9578,0.9988,1.0,160380.40,0.000000
53,7,4,0,1,0.0016,1.0000,892,0.0204,0.9983,3.0,6382.10,0.000000
54,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,873793.60,0.000000
55,7,7,1,1,0.0436,1.0000,465,0.0010,0.9998,4.0,34780.50,1.000000
56,7,7,1,1,0.2759,0.9756,304,2.6037,0.9984,1.0,31673.60,0.975610
57,7,7,1,1,1.0444,0.8605,432,6.3816,0.9990,1.0,86814.90,0.860465
58,7,5,0,1,0.0128,1.0000,327,0.0017,0.9999,5.0,139300.90,0.000000
59,7,4,0,1,3.0752,0.8340,1011,2.2461,0.9999,2.0,1323814.00,0.000000
60,7,6,0,1,1.7377,0.9091,668,0.0000,0.9991,4.0,3491.60,0.000000
61,7,1,0,1,1.0565,0.7097,568,8.4994,0.9633,1.0,26538.10,0.000000
62,7,2,0,1,0.2987,0.9722,733,22.0772,0.9926,1.0,64246.40,0.000000
63,7,5,0,1,1.4802,0.7593,260,7.3989,0.9990,1.0,49202.10,0.000000
64,7,2,0,1,0.7193,0.9167,790,2.5936,0.9993,3.0,18666.10,0.000000
65,7,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,696318.40,0.000000
66,7,2,0,1,1.8117,0.3333,701,4.1682,0.9805,4.0,134.90,0.000000
67,7,5,0,1,0.3203,0.9667,501,1.0446,0.9987,3.0,26797.60,0.000000
68,7,5,0,1,0.0695,0.9722,552,6.8679,0.9994,2.0,32502.10,0.000000
