id,rnd,last_sel,sel,part,loss,acc,data,grad,cos,ep,pcdi,contrib
0.000000000000000000e+00,1.060000000000000000e+02,9.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.519927784800529480e-01,9.423076923076922906e-01,2.650000000000000000e+02,1.778815981127461754e+00,9.994856655128026013e-01,1.000000000000000000e+00,4.514889999999999418e+04,0.000000000000000000e+00
1.000000000000000000e+00,1.060000000000000000e+02,1.030000000000000000e+02,0.000000000000000000e+00,1.100000000000000000e+01,7.908847928047180176e-02,9.375000000000000000e-01,5.710000000000000000e+02,1.928515651940104103e+00,9.997970536707276867e-01,5.000000000000000000e+00,9.002100000000000364e+03,0.000000000000000000e+00
2.000000000000000000e+00,1.060000000000000000e+02,1.030000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+01,2.740484327077865601e-01,9.399999999999999467e-01,1.039000000000000000e+03,2.759245626745399527e+00,9.994584187277133491e-01,1.000000000000000000e+00,2.312889999999999782e+04,0.000000000000000000e+00
3.000000000000000000e+00,1.060000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+00,3.399051278829574585e-01,9.193548387096773800e-01,4.440000000000000000e+02,3.255699768442159137e+00,9.995944548766816373e-01,2.000000000000000000e+00,4.829439999999999418e+04,0.000000000000000000e+00
4.000000000000000000e+00,1.060000000000000000e+02,9.900000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,2.353893443942070007e-01,9.333333333333333481e-01,8.850000000000000000e+02,6.659623306484614425e+00,9.996010892480786669e-01,2.000000000000000000e+00,6.980399999999999636e+03,0.000000000000000000e+00
5.000000000000000000e+00,1.060000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00,3.852918744030375819e-01,9.090909090909090606e-01,1.194000000000000000e+03,2.651591025589015160e+00,9.999210634447615043e-01,5.000000000000000000e+00,9.175640000000000873e+04,0.000000000000000000e+00
6.000000000000000000e+00,1.060000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+01,9.747249074280261993e-01,9.189189189189189699e-01,4.250000000000000000e+02,1.145091508884797937e+00,9.998882119237673116e-01,3.000000000000000000e+00,3.728890000000000146e+04,0.000000000000000000e+00
7.000000000000000000e+00,1.060000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,3.904948458075523376e-01,9.305555555555555802e-01,7.940000000000000000e+02,1.016622694495951107e+00,9.997211486195154428e-01,2.000000000000000000e+00,6.465160000000000582e+04,0.000000000000000000e+00
8.000000000000000000e+00,1.060000000000000000e+02,1.060000000000000000e+02,1.000000000000000000e+00,9.000000000000000000e+00,5.580786466598510742e-01,9.180327868852459217e-01,1.147000000000000000e+03,1.458001911533416675e-03,9.998551067895825595e-01,4.000000000000000000e+00,6.952689999999997963e+04,-5.399999999999960387e-03
9.000000000000000000e+00,1.060000000000000000e+02,9.600000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,5.706284940242767334e-01,9.146341463414634498e-01,3.470000000000000000e+02,4.236726736477408828e+00,9.999242783414276081e-01,4.000000000000000000e+00,6.515410000000000582e+04,0.000000000000000000e+00
