client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,72,61,0,6,51.138,0.916,0.877,845,0.012,0.9999,5,0.000000
1,72,62,0,7,26.383,0.877,0.889,948,0.936,0.9997,1,0.000000
2,72,68,0,7,92.519,0.010,1.000,523,0.461,0.9997,4,0.000000
3,72,56,0,7,86.579,0.317,0.905,699,0.749,0.9996,1,0.000000
4,72,70,0,6,40.244,0.602,0.963,990,0.228,1.0000,5,0.000000
5,72,69,0,7,7.953,0.638,0.913,984,3.461,0.9997,1,0.000000
6,72,66,0,7,2.623,0.719,0.939,851,1.029,0.9999,4,0.000000
7,72,71,0,7,52.662,0.339,0.949,1108,1.223,0.9998,2,0.000000
8,72,71,0,6,21.411,0.196,0.968,386,2.418,0.9998,5,0.000000
9,72,71,0,8,11.662,0.114,0.938,1063,0.004,0.9996,3,0.000000
10,72,64,0,8,90.895,0.445,0.976,204,3.818,0.9996,2,0.000000
11,72,66,0,7,66.209,0.147,0.952,1012,2.322,0.9999,4,0.000000
12,72,28,1,2,43.371,0.799,0.887,502,3.611,0.9995,1,0.003400
13,72,66,0,6,10.993,0.331,0.875,404,0.622,0.9993,2,0.000000
14,72,69,0,10,73.869,0.106,0.990,552,0.240,0.9996,1,0.000000
15,72,52,0,5,2.246,0.435,0.848,800,5.083,0.9987,1,0.000000
16,72,69,0,7,55.884,0.820,0.800,745,7.700,0.9999,5,0.000000
17,72,67,0,10,95.339,0.390,0.957,556,1.457,0.9998,3,0.000000
18,72,71,0,11,79.771,0.310,0.952,323,0.482,0.9999,5,0.000000
19,72,71,0,10,14.558,0.258,0.921,1074,2.787,0.9992,1,0.000000
20,72,67,0,12,3.780,0.476,0.930,526,1.228,0.9999,5,0.000000
21,72,52,0,6,4.243,0.701,0.833,627,3.287,0.9999,3,0.000000
22,72,68,0,10,70.480,0.534,0.913,279,0.004,0.9986,2,0.000000
23,72,42,0,5,91.284,0.996,0.909,557,0.155,0.9999,5,0.000000
24,72,63,0,10,93.523,0.323,0.882,1039,30.577,0.9997,5,0.000000
25,72,57,0,6,55.310,0.393,0.970,918,1.412,0.9999,5,0.000000
26,72,66,1,8,35.010,0.395,0.806,433,0.738,0.9997,2,0.002900
27,72,57,0,6,15.508,1.065,0.910,314,2.279,0.9998,2,0.000000
28,72,70,0,10,35.129,1.495,0.884,1126,2.857,0.9999,5,0.000000
29,72,70,1,10,25.515,0.406,0.907,365,0.258,0.9999,4,0.007500
30,72,65,0,6,75.940,0.675,0.887,339,4.490,0.9994,1,0.000000
31,72,59,0,3,30.635,0.588,0.870,493,0.139,0.9996,2,0.000000
32,72,68,0,12,80.600,0.272,0.953,392,2.180,0.9995,1,0.000000
33,72,60,0,7,78.827,1.099,0.788,1068,2.773,0.9997,3,0.000000
34,72,49,0,5,35.275,0.021,1.000,892,0.011,0.9997,2,0.000000
35,72,69,0,6,10.473,0.125,0.979,646,0.011,0.9999,2,0.000000
36,72,36,0,3,62.872,1.880,0.836,674,2.998,0.9998,2,0.000000
37,72,60,0,8,71.825,0.120,0.977,507,0.598,0.9998,3,0.000000
38,72,69,0,5,87.053,0.399,0.984,395,1.364,0.9999,5,0.000000
39,72,54,0,8,0.917,1.687,0.844,403,3.269,0.9999,5,0.000000
40,72,51,0,6,67.638,0.108,0.941,245,1.145,0.9996,2,0.000000
41,72,49,1,5,14.504,0.969,0.905,737,1.813,0.9997,1,0.005500
42,72,71,0,11,21.116,0.267,0.967,612,0.000,0.9992,5,0.000000
43,72,48,0,3,41.979,0.095,0.969,735,3.295,0.9998,5,0.000000
44,72,66,0,3,57.000,1.723,0.904,500,2.486,0.9998,3,0.000000
45,72,61,0,8,41.848,0.334,0.905,878,0.005,0.9997,2,0.000000
46,72,64,0,9,23.926,0.600,0.862,783,2.649,0.9993,1,0.000000
47,72,64,0,8,63.017,0.289,0.974,740,1.129,0.9993,1,0.000000
48,72,71,0,8,70.852,0.124,0.986,991,0.364,0.9998,2,0.000000
49,72,70,0,4,5.318,0.188,0.973,1093,1.274,0.9999,3,0.000000
50,72,62,0,8,89.472,0.582,0.921,428,1.355,0.9999,5,0.000000
