client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,81,79,0,10,27.161,0.6549,0.8667,337,4.0549,0.9996,1,0.000000
1,81,55,0,12,28.946,0.2952,0.9333,206,2.5826,0.9999,3,0.000000
2,81,71,0,9,8.536,0.4854,0.9167,407,1.7915,0.9996,1,0.000000
3,81,80,0,7,31.294,0.4423,0.9333,809,1.2878,0.9999,5,0.000000
4,81,72,0,11,51.729,0.6656,0.9000,320,2.8467,0.9999,4,0.000000
5,81,65,0,4,6.043,0.5385,0.9000,537,2.0386,0.9998,3,0.000000
6,81,72,0,6,79.614,0.5666,0.8667,1009,2.8207,0.9998,3,0.000000
7,81,59,0,3,54.884,0.3217,0.9167,400,4.8007,0.9996,1,0.000000
8,81,69,1,10,62.043,0.5967,0.9167,620,2.4357,0.9999,5,0.000800
9,81,72,1,8,23.897,0.3222,0.9333,974,4.4282,0.9999,4,0.000100
10,81,76,0,8,71.301,0.6098,0.8667,745,3.8516,0.9997,3,0.000000
11,81,79,0,9,69.282,0.6078,0.9000,1180,2.8899,0.9996,2,0.000000
12,81,79,0,9,27.927,0.6871,0.9167,356,0.2098,0.9999,4,0.000000
13,81,34,0,3,58.025,0.6050,0.9000,514,2.2390,0.9997,2,0.000000
14,81,74,1,10,68.772,0.6711,0.8833,625,1.4091,0.9997,2,0.000100
15,81,48,0,10,35.748,1.1795,0.8333,415,3.0260,0.9998,3,0.000000
16,81,28,0,4,93.073,0.4337,0.9167,960,3.1708,0.9998,3,0.000000
17,81,64,0,3,51.109,0.5879,0.8833,724,1.9376,0.9999,4,0.000000
18,81,80,0,11,50.993,0.4329,0.8833,600,3.1535,0.9999,4,0.000000
19,81,79,0,12,21.092,0.2811,0.9667,997,2.3504,0.9999,5,0.000000
20,81,73,0,9,4.996,0.6074,0.9167,1037,2.6046,0.9997,2,0.000000
21,81,55,0,5,6.682,0.6919,0.9000,1174,1.9917,0.9999,5,0.000000
22,81,71,0,6,38.258,0.4043,0.9167,1116,5.9219,0.9996,1,0.000000
23,81,63,0,6,63.483,0.7770,0.8167,1096,0.9582,0.9999,4,0.000000
24,81,73,0,8,18.027,0.3933,0.9333,1183,3.5526,0.9995,1,0.000000
25,81,75,0,10,97.199,0.8910,0.9333,317,1.4495,0.9999,5,0.000000
26,81,32,0,3,89.811,0.4372,0.9167,647,4.1163,0.9999,5,0.000000
27,81,79,0,5,44.355,0.4805,0.9333,391,4.7200,0.9999,5,0.000000
28,81,70,0,7,56.717,0.7264,0.8833,952,3.4504,0.9997,1,0.000000
29,81,80,0,6,65.831,0.6429,0.9167,306,0.7856,0.9999,5,0.000000
