client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,2,2,1,1,0.8712,0.7500,989,3.5221,0.9971,3.0,4702.90,0.750000
1,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,273843.60,0.000000
2,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,7272.90,0.000000
3,2,2,1,1,0.0269,1.0000,225,5.6566,0.9917,1.0,60048.10,1.000000
4,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,268226.00,0.000000
5,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,518.40,0.000000
6,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,24452.90,0.000000
7,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,180917.60,0.000000
8,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,13526.00,0.000000
9,2,2,1,1,1.2468,0.8972,929,4.9165,0.9988,1.0,153226.90,0.897196
10,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,224128.50,0.000000
11,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,133680.50,0.000000
12,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,46510.10,0.000000
13,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,41238.10,0.000000
14,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,45978.10,0.000000
15,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,30907.60,0.000000
16,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,12513.60,0.000000
17,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,23382.40,0.000000
18,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,666072.00,0.000000
19,2,1,0,1,1.1912,0.8917,1005,3.2588,0.9992,3.0,459989.60,0.000000
20,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3921.60,0.000000
21,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,12494.90,0.000000
22,2,2,1,1,0.3082,0.9766,621,0.7508,0.9997,3.0,412800.40,0.976562
23,2,1,0,1,0.2116,0.9878,460,2.0783,0.9988,2.0,171330.40,0.000000
24,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,85037.60,0.000000
25,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,177588.40,0.000000
26,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,19612.10,0.000000
27,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,33760.90,0.000000
28,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,762320.10,0.000000
29,2,1,0,1,1.9786,0.7500,920,7.0324,0.9158,1.0,6738.00,0.000000
30,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,235426.10,0.000000
31,2,2,1,1,0.0169,1.0000,258,4.4458,0.9996,5.0,47444.10,1.000000
32,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,12906.40,0.000000
33,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,2005590.90,0.000000
34,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,160882.50,0.000000
35,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,16380.40,0.000000
36,2,1,0,1,0.6228,0.9333,1181,1.8655,0.9991,4.0,448436.40,0.000000
37,2,1,0,1,1.1857,1.0000,894,0.0005,0.9281,1.0,20261.60,0.000000
38,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,12449.60,0.000000
39,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,224214.10,0.000000
40,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,32.90,0.000000
41,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,37222.90,0.000000
42,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,9058.10,0.000000
43,2,1,0,1,0.6859,0.9508,747,1.2737,0.9805,1.0,224924.90,0.000000
44,2,2,1,1,0.5697,0.9355,552,4.5548,0.9998,3.0,141083.60,0.935484
45,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,285246.00,0.000000
46,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,40.10,0.000000
47,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,18862.00,0.000000
48,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,314382.10,0.000000
49,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,214451.60,0.000000
50,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,615315.60,0.000000
51,2,2,1,1,0.0347,1.0000,1099,5.6103,0.9974,5.0,2780.40,1.000000
52,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,13190.10,0.000000
53,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,42946.90,0.000000
54,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,46796.50,0.000000
55,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,38604.90,0.000000
56,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,17922.10,0.000000
