client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
0,16,14,0,2,4.637,1.292,0.830,581,2.078,0.9998,2,141432.90,0.000000
1,16,8,0,1,82.847,0.308,0.964,1140,2.071,0.9993,3,7276.00,0.000000
2,16,15,0,2,48.639,0.174,0.990,980,0.813,1.0000,5,209403.60,0.000000
3,16,7,0,1,99.753,0.044,1.000,846,0.630,0.9997,2,49831.60,0.000000
4,16,10,0,1,71.143,0.161,0.969,925,11.343,0.9973,1,15392.10,0.000000
5,16,10,0,1,89.608,1.313,0.783,643,21.312,0.9985,1,54790.50,0.000000
6,16,9,0,1,29.590,1.100,0.754,775,5.238,0.9994,2,37796.10,0.000000
7,16,8,0,1,31.965,0.097,0.974,1087,3.379,0.9998,1,12127.60,0.000000
8,16,14,0,2,67.856,1.692,0.806,748,0.055,0.9996,2,99152.90,0.000000
9,16,12,0,2,91.429,0.296,0.975,1180,1.663,0.9998,2,133986.10,0.000000
10,16,14,0,2,85.766,0.600,0.735,232,2.624,0.9998,5,10212.90,0.000000
11,16,12,0,2,88.217,0.659,0.938,275,0.165,0.9998,4,208448.00,0.000000
12,16,6,1,1,79.630,0.820,0.958,652,0.000,0.9998,3,223540.90,0.012800
13,16,13,0,2,20.998,1.108,0.850,977,2.985,0.9999,5,44328.50,0.000000
14,16,10,0,1,38.814,1.270,0.811,970,9.443,0.9998,3,80242.40,0.000000
15,16,9,0,1,88.635,1.463,0.766,962,4.065,0.9996,3,22748.40,0.000000
16,16,13,0,2,5.962,0.204,0.969,414,0.054,0.9997,2,59819.60,0.000000
17,16,13,0,2,9.257,0.455,0.938,336,1.240,0.9999,3,49398.40,0.000000
18,16,7,0,1,93.652,1.270,0.771,1136,4.646,0.9997,2,23066.00,0.000000
19,16,12,0,2,47.475,0.200,0.967,962,1.589,0.9999,5,42400.40,0.000000
20,16,8,0,1,79.093,0.783,0.852,1029,3.807,0.9997,2,57549.60,0.000000
21,16,8,0,1,29.292,0.935,0.875,646,3.349,0.9998,3,141028.90,0.000000
22,16,10,0,1,70.968,0.689,0.933,923,2.775,0.9985,1,57754.40,0.000000
23,16,7,0,1,66.535,0.292,0.964,464,1.374,0.9999,5,48811.60,0.000000
24,16,14,0,2,23.721,0.107,0.985,496,0.964,0.9999,3,102820.40,0.000000
25,16,15,0,2,15.089,0.389,0.939,1005,0.365,0.9995,1,121876.10,0.000000
26,16,14,0,2,32.739,0.940,0.879,997,2.468,0.9996,1,113450.10,0.000000
27,16,12,0,2,2.914,0.942,0.889,1045,0.557,0.9998,4,70989.60,0.000000
28,16,7,0,1,3.791,0.758,0.933,796,5.173,0.9999,4,41112.90,0.000000
29,16,15,0,2,91.868,1.045,0.878,341,10.557,0.9998,1,40866.00,0.000000
30,16,6,1,1,44.272,2.772,0.641,1127,0.852,0.9997,4,11508.10,-0.021700
31,16,6,1,1,91.499,0.612,0.829,876,26.146,0.9992,2,25595.60,0.018300
32,16,13,0,2,5.868,0.644,0.923,387,5.407,0.9998,2,59582.10,0.000000
33,16,10,0,1,75.241,0.145,0.938,1045,4.960,0.9973,1,9678.40,0.000000
34,16,11,0,2,52.701,0.978,0.630,695,4.777,0.9997,3,7492.50,0.000000
35,16,12,0,2,56.138,0.507,0.914,446,0.441,0.9999,5,25774.10,0.000000
36,16,11,0,2,19.115,1.008,0.890,743,3.367,0.9999,3,93339.60,0.000000
37,16,10,0,1,76.010,0.941,0.868,830,3.076,0.9997,4,16246.00,0.000000
38,16,7,0,1,9.588,0.136,0.985,228,1.882,0.9998,2,541202.00,0.000000
39,16,11,0,2,34.855,1.189,0.846,228,5.554,0.9998,3,32074.10,0.000000
40,16,9,0,1,65.982,1.172,0.750,1124,45.885,0.9944,5,41208.50,0.000000
41,16,11,0,2,30.223,0.215,0.976,402,10.517,0.9999,5,21036.10,0.000000
42,16,6,1,1,17.028,0.905,0.860,643,1.538,0.9999,3,23965.60,0.020000
43,16,11,0,2,42.955,1.142,0.840,742,0.051,0.9999,4,14304.90,0.000000
44,16,10,0,1,37.581,0.071,1.000,991,2.243,0.9996,5,76456.90,0.000000
45,16,15,0,2,62.872,1.013,0.899,594,0.167,0.9999,4,88320.00,0.000000
46,16,7,0,1,75.486,0.082,0.973,278,1.508,0.9997,4,29692.00,0.000000
47,16,14,0,2,14.976,0.340,0.950,1052,1.334,0.9999,5,37079.60,0.000000
48,16,11,0,2,12.727,0.034,1.000,770,1.621,0.9993,2,11346.50,0.000000
49,16,15,0,2,88.760,0.019,1.000,1091,1.385,0.9997,5,12942.40,0.000000
50,16,7,0,1,10.784,0.006,1.000,728,0.470,0.9996,2,129564.40,0.000000
51,16,9,0,1,19.181,0.919,0.877,598,2.460,0.9997,4,51940.90,0.000000
52,16,7,0,1,22.747,1.381,0.800,321,8.095,0.9994,1,100201.60,0.000000
53,16,10,0,1,69.463,1.503,0.766,818,16.211,0.9991,1,31350.00,0.000000
54,16,12,0,2,98.270,1.492,0.823,539,9.479,0.9998,3,84388.40,0.000000
55,16,7,0,1,72.291,0.357,0.956,613,1.284,0.9999,4,183012.10,0.000000
56,16,6,1,1,42.449,1.703,0.836,907,12.575,0.9998,3,19722.90,0.004400
57,16,11,0,2,46.555,0.344,0.926,331,5.092,0.9996,1,20598.00,0.000000
58,16,14,0,2,3.165,0.201,0.972,239,1.491,0.9999,4,147194.00,0.000000
59,16,15,0,2,79.116,0.245,0.927,594,3.757,0.9997,1,17494.00,0.000000
60,16,12,0,2,61.191,1.324,0.754,370,3.068,0.9994,2,14008.50,0.000000
61,16,13,0,2,49.581,0.117,0.985,646,0.481,0.9999,4,86826.90,0.000000
62,16,15,0,2,38.448,0.121,0.917,324,2.187,0.9997,4,5564.10,0.000000
